mother_query_name,sql,relations,joins,wheres,true_cardinality,postgres_estimate,postgres_optimization_time,execution_time
10a,SELECT * FROM title AS t WHERE t.production_year > 2005,"('t',)",[],"({'gt': ['t.production_year', 2005]},)",1012920,1005730.0,0.0013298988342285,0.2126777172088623
10a,SELECT * FROM cast_info AS ci WHERE ci.note LIKE '%(voice)%',"('ci',)",[],"({'like': ['ci.note', {'literal': '%(voice)%'}]},)",790340,840569.0,0.0013649463653564,1.9548099040985107
10a,SELECT * FROM cast_info AS ci WHERE ci.note LIKE '%(uncredited)%',"('ci',)",[],"({'like': ['ci.note', {'literal': '%(uncredited)%'}]},)",1004570,917895.0,0.0008854866027832,1.9836792945861816
10a,SELECT * FROM cast_info AS ci WHERE ci.note LIKE '%(voice)%' AND ci.note LIKE '%(uncredited)%',"('ci',)",[],"({'like': ['ci.note', {'literal': '%(voice)%'}]}, {'like': ['ci.note', {'literal': '%(uncredited)%'}]})",32288,21296.0,0.0010795593261718,2.0498945713043213
10a,SELECT * FROM role_type AS rt WHERE rt.role = 'actor',"('rt',)",[],"({'eq': ['rt.role', {'literal': 'actor'}]},)",1,1.0,0.0016727447509765,0.0007543563842773
10a,SELECT * FROM company_name AS cn WHERE cn.country_code = '[ru]',"('cn',)",[],"({'eq': ['cn.country_code', {'literal': '[ru]'}]},)",1361,220.0,0.002063512802124,0.0349411964416503
10b,SELECT * FROM title AS t WHERE t.production_year > 2010,"('t',)",[],"({'gt': ['t.production_year', 2010]},)",391666,386095.0,0.0008926391601562,0.1884691715240478
10b,SELECT * FROM cast_info AS ci WHERE ci.note LIKE '%(producer)%',"('ci',)",[],"({'like': ['ci.note', {'literal': '%(producer)%'}]},)",1435439,1502367.0,0.0009262561798095,2.0530381202697754
10b,SELECT * FROM role_type AS rt WHERE rt.role = 'actor',"('rt',)",[],"({'eq': ['rt.role', {'literal': 'actor'}]},)",1,1.0,0.0007014274597167,0.0006589889526367
10b,SELECT * FROM company_name AS cn WHERE cn.country_code = '[ru]',"('cn',)",[],"({'eq': ['cn.country_code', {'literal': '[ru]'}]},)",1361,220.0,0.0008261203765869,0.0284497737884521
