mother_query_name,sql,relations,joins,wheres,true_cardinality,postgres_estimate,postgres_optimization_time,execution_time
10a,SELECT * FROM cast_info ci WHERE ci.note LIKE '%(voice)%' AND ci.note LIKE '%(uncredited)%',['cast_info'],[],"[""ci.note LIKE '%(voice)%'"", ""ci.note LIKE '%(uncredited)%'""]",32288,26922.0,0.1272749900817871,2.188878059387207
10a,SELECT * FROM company_name cn WHERE cn.country_code = '[ru]',['company_name'],[],"[""cn.country_code = '[ru]'""]",1361,1386.0,0.004026889801025391,0.054264068603515625
10a,SELECT * FROM role_type rt WHERE rt.role = 'actor',['role_type'],[],"[""rt.role = 'actor'""]",1,4.0,0.0016682147979736328,0.0009250640869140625
10a,SELECT * FROM title t WHERE t.production_year > 2005,['title'],[],['t.production_year > 2005'],1012920,1015372.0,0.0020530223846435547,0.41742706298828125
10b,SELECT * FROM cast_info ci WHERE ci.note LIKE '%(producer)%',['cast_info'],[],"[""ci.note LIKE '%(producer)%'""]",1435439,1377070.0,0.0013461112976074219,1.094728946685791
10b,SELECT * FROM company_name cn WHERE cn.country_code = '[ru]',['company_name'],[],"[""cn.country_code = '[ru]'""]",1361,1386.0,0.0009369850158691406,0.01833796501159668
10b,SELECT * FROM role_type rt WHERE rt.role = 'actor',['role_type'],[],"[""rt.role = 'actor'""]",1,4.0,0.0008070468902587891,0.0007510185241699219
10b,SELECT * FROM title t WHERE t.production_year > 2010,['title'],[],['t.production_year > 2010'],391666,395793.0,0.0006349086761474609,0.09432005882263184
10c,SELECT * FROM cast_info ci WHERE ci.note LIKE '%(producer)%',['cast_info'],[],"[""ci.note LIKE '%(producer)%'""]",1435439,1377070.0,0.0012600421905517578,0.7016589641571045
10c,SELECT * FROM company_name cn WHERE cn.country_code = '[us]',['company_name'],[],"[""cn.country_code = '[us]'""]",84843,85750.0,0.001550912857055664,0.013813972473144531
10c,SELECT * FROM title t WHERE t.production_year > 1990,['title'],[],['t.production_year > 1990'],1749032,1750121.0,0.0013818740844726562,0.06649899482727051
11a,SELECT * FROM company_name cn WHERE cn.country_code !='[pl]' AND (cn.name LIKE '%Film%'        OR cn.name LIKE '%Warner%'),['company_name'],[],"[""cn.country_code !='[pl]'"", ""(cn.name LIKE '%Film%'        OR cn.name LIKE '%Warner%')""]",48302,38222.0,0.0012049674987792969,0.022572994232177734
11a,SELECT * FROM company_type ct WHERE ct.kind ='production companies',['company_type'],[],"[""ct.kind ='production companies'""]",1,4.0,0.0015082359313964844,0.0009818077087402344
