mother_query_name,sql,relations,joins,wheres,true_cardinality,postgres_estimate,postgres_optimization_time,execution_time,table,bn_estimate,q_pg,q_bn
10a,SELECT * FROM company_name cn WHERE cn.country_code = '[ru]',['company_name'],[],"[""cn.country_code = '[ru]'""]",1361,1386.0,0.0040268898010253,0.0542640686035156,company_name,1361,1.0183688464364438,1.0
10a,SELECT * FROM role_type rt WHERE rt.role = 'actor',['role_type'],[],"[""rt.role = 'actor'""]",1,4.0,0.0016682147979736,0.000925064086914,role_type,1,4.0,1.0
10b,SELECT * FROM company_name cn WHERE cn.country_code = '[ru]',['company_name'],[],"[""cn.country_code = '[ru]'""]",1361,1386.0,0.0009369850158691,0.0183379650115966,company_name,1361,1.0183688464364438,1.0
10b,SELECT * FROM role_type rt WHERE rt.role = 'actor',['role_type'],[],"[""rt.role = 'actor'""]",1,4.0,0.0008070468902587,0.0007510185241699,role_type,1,4.0,1.0
10c,SELECT * FROM company_name cn WHERE cn.country_code = '[us]',['company_name'],[],"[""cn.country_code = '[us]'""]",84843,85750.0,0.0015509128570556,0.0138139724731445,company_name,84843,1.0106903339108706,1.0
11a,SELECT * FROM company_type ct WHERE ct.kind ='production companies',['company_type'],[],"[""ct.kind ='production companies'""]",1,4.0,0.0015082359313964,0.0009818077087402,company_type,1,4.0,1.0
11a,SELECT * FROM keyword k WHERE k.keyword ='sequel',['keyword'],[],"[""k.keyword ='sequel'""]",1,1.0,0.0010952949523925,0.0109400749206542,keyword,1,1.0,1.0
11b,SELECT * FROM company_type ct WHERE ct.kind ='production companies',['company_type'],[],"[""ct.kind ='production companies'""]",1,4.0,0.0011548995971679,0.0009539127349853,company_type,1,4.0,1.0
11b,SELECT * FROM keyword k WHERE k.keyword ='sequel',['keyword'],[],"[""k.keyword ='sequel'""]",1,1.0,0.0009369850158691,0.0054688453674316,keyword,1,1.0,1.0
11d,SELECT * FROM company_name cn WHERE cn.country_code !='[pl]',['company_name'],[],"[""cn.country_code !='[pl]'""]",210031,210236.0,0.0008888244628906,0.013962984085083,company_name,234997,1.0009760463931514,1.1188681670800977
12a,SELECT * FROM company_name cn WHERE cn.country_code = '[us]',['company_name'],[],"[""cn.country_code = '[us]'""]",84843,85750.0,0.0010550022125244,0.01344895362854,company_name,84843,1.0106903339108706,1.0
12a,SELECT * FROM company_type ct WHERE ct.kind = 'production companies',['company_type'],[],"[""ct.kind = 'production companies'""]",1,4.0,0.0012679100036621,0.0011200904846191,company_type,1,4.0,1.0
