mother_query_name,sql,relations,joins,wheres,true_cardinality,postgres_estimate,postgres_optimization_time,execution_time
10a,SELECT * FROM company_name cn WHERE cn.country_code = '[ru]',['company_name'],[],"[""cn.country_code = '[ru]'""]",1361,1386.0,0.0040268898010253,0.0542640686035156
10a,SELECT * FROM role_type rt WHERE rt.role = 'actor',['role_type'],[],"[""rt.role = 'actor'""]",1,4.0,0.0016682147979736,0.000925064086914
10b,SELECT * FROM company_name cn WHERE cn.country_code = '[ru]',['company_name'],[],"[""cn.country_code = '[ru]'""]",1361,1386.0,0.0009369850158691,0.0183379650115966
10b,SELECT * FROM role_type rt WHERE rt.role = 'actor',['role_type'],[],"[""rt.role = 'actor'""]",1,4.0,0.0008070468902587,0.0007510185241699
10c,SELECT * FROM company_name cn WHERE cn.country_code = '[us]',['company_name'],[],"[""cn.country_code = '[us]'""]",84843,85750.0,0.0015509128570556,0.0138139724731445
11a,SELECT * FROM company_type ct WHERE ct.kind ='production companies',['company_type'],[],"[""ct.kind ='production companies'""]",1,4.0,0.0015082359313964,0.0009818077087402
11a,SELECT * FROM keyword k WHERE k.keyword ='sequel',['keyword'],[],"[""k.keyword ='sequel'""]",1,1.0,0.0010952949523925,0.0109400749206542
11b,SELECT * FROM company_type ct WHERE ct.kind ='production companies',['company_type'],[],"[""ct.kind ='production companies'""]",1,4.0,0.0011548995971679,0.0009539127349853
11b,SELECT * FROM keyword k WHERE k.keyword ='sequel',['keyword'],[],"[""k.keyword ='sequel'""]",1,1.0,0.0009369850158691,0.0054688453674316
11d,SELECT * FROM company_name cn WHERE cn.country_code !='[pl]',['company_name'],[],"[""cn.country_code !='[pl]'""]",210031,210236.0,0.0008888244628906,0.013962984085083
12a,SELECT * FROM company_name cn WHERE cn.country_code = '[us]',['company_name'],[],"[""cn.country_code = '[us]'""]",84843,85750.0,0.0010550022125244,0.01344895362854
12a,SELECT * FROM company_type ct WHERE ct.kind = 'production companies',['company_type'],[],"[""ct.kind = 'production companies'""]",1,4.0,0.0012679100036621,0.0011200904846191
12a,SELECT * FROM info_type it1 WHERE it1.info = 'genres',['info_type'],[],"[""it1.info = 'genres'""]",1,1.0,0.0015668869018554,0.0014247894287109
12a,SELECT * FROM info_type it2 WHERE it2.info = 'rating',['info_type'],[],"[""it2.info = 'rating'""]",1,1.0,0.0010051727294921,0.0010089874267578
12b,SELECT * FROM company_name cn WHERE cn.country_code ='[us]',['company_name'],[],"[""cn.country_code ='[us]'""]",84843,85750.0,0.0011038780212402,0.0140140056610107
12b,SELECT * FROM info_type it1 WHERE it1.info ='budget',['info_type'],[],"[""it1.info ='budget'""]",1,1.0,0.0010828971862792,0.0009593963623046
12b,SELECT * FROM info_type it2 WHERE it2.info ='bottom 10 rank',['info_type'],[],"[""it2.info ='bottom 10 rank'""]",1,1.0,0.0010631084442138,0.0010039806365966
12c,SELECT * FROM company_name cn WHERE cn.country_code = '[us]',['company_name'],[],"[""cn.country_code = '[us]'""]",84843,85750.0,0.0011031627655029,0.013273000717163
12c,SELECT * FROM company_type ct WHERE ct.kind = 'production companies',['company_type'],[],"[""ct.kind = 'production companies'""]",1,4.0,0.0010652542114257,0.0009727478027343
12c,SELECT * FROM info_type it1 WHERE it1.info = 'genres',['info_type'],[],"[""it1.info = 'genres'""]",1,1.0,0.0008950233459472,0.0009701251983642
12c,SELECT * FROM info_type it2 WHERE it2.info = 'rating',['info_type'],[],"[""it2.info = 'rating'""]",1,1.0,0.000922679901123,0.0008549690246582
13a,SELECT * FROM company_name cn WHERE cn.country_code ='[de]',['company_name'],[],"[""cn.country_code ='[de]'""]",9775,9729.0,0.0011427402496337,0.0114400386810302
13a,SELECT * FROM company_type ct WHERE ct.kind ='production companies',['company_type'],[],"[""ct.kind ='production companies'""]",1,4.0,0.0009419918060302,0.0010108947753906
